_id,enemies_killed,final_health,level,reason_end,time_remaining,total_bullets
633ca0ec7d687113657b1fa1,1,90,1,SUCCESS,106,7
633ccf1f2af518959b0c5301,1,100,1,SUCCESS,112,13
633ccf45c9d819512352cb0a,5,90,1,SUCCESS,69,59
633ccf47296aed5a74345c34,1,100,1,SUCCESS,108,6
633ccf570be31bf3bcc1e43a,2,20,1,SUCCESS,78,7
633ccf704bd163a4c651902b,0,50,1,SUCCESS,87,2
633ccf713969702b1f73cfd0,0,0,1,KILLED,105,6
633ccf716ee03859f9828607,0,50,1,SUCCESS,86,0
633ccf74399f7471b5b21629,1,90,1,SUCCESS,77,11
633ccf75e059b4a80f3cd8e0,0,90,1,SUCCESS,76,1
633ccf7b4bd163a4c65191c9,5,90,1,SUCCESS,69,26
633ccf894bd163a4c65193ba,0,0,1,KILLED,110,0
633ccf8ae88c9b3f3a9e89b8,0,0,1,KILLED,99,3
633ccf924bd163a4c6519510,1,90,1,SUCCESS,93,3
633ccf984bd163a4c65195cc,2,100,1,SUCCESS,107,13
633ccf9ae059b4a80f3cde31,2,100,1,SUCCESS,93,17
633ccf9a0be31bf3bcc1edb8,0,100,1,SUCCESS,105,0
633ccf9d6ee03859f9828c9c,0,0,1,KILLED,100,0
633ccface059b4a80f3ce09c,0,90,1,SUCCESS,105,0
633ccfb84bd163a4c6519b67,1,80,1,SUCCESS,98,23
633ccfc60be31bf3bcc1f460,6,90,1,SUCCESS,85,53
633ccfc7c9d819512352dd06,1,90,1,SUCCESS,102,5
633ccfd2399f7471b5b22498,0,0,1,KILLED,102,0
633ccfd94bd163a4c651a0f3,9,80,1,SUCCESS,54,56
633ccfefe059b4a80f3ceb0b,1,0,1,KILLED,102,5
633ccffd7d68711365832dd4,0,0,1,KILLED,110,0
633ccfffe059b4a80f3ceda9,4,0,1,KILLED,68,31
633cd006296aed5a74347853,1,70,1,SUCCESS,69,10
633cd01ee88c9b3f3a9ea2d9,0,0,1,KILLED,101,0
633cd02a7d6871136583370c,4,80,1,SUCCESS,76,12
633cd0397d68711365833919,1,90,1,SUCCESS,111,1
633cd03f7d68711365833a1e,1,90,1,SUCCESS,94,9
633cd0552af518959b0c8364,0,0,1,KILLED,36,0
633cd057399f7471b5b23c75,3,100,1,SUCCESS,101,22
633cd0673969702b1f73fac8,2,100,1,SUCCESS,107,7
633cd07a7d6871136583435f,0,100,1,SUCCESS,104,0
633cd07a0a7a615a96e0ec73,2,100,1,SUCCESS,104,2
633cd0b7296aed5a7434990b,6,100,1,SUCCESS,69,32
633cd0c5e88c9b3f3a9ec9d5,4,90,1,SUCCESS,39,258
633cd0ce6ee03859f982ca85,1,50,1,TIME_UP,0,6
633cd0ce0a7a615a96e0fa51,0,100,1,SUCCESS,102,1
633cd10c399f7471b5b25822,0,100,1,SUCCESS,64,6
633cd1202af518959b0ca17d,3,50,1,SUCCESS,33,128
633cd1537d6871136583672d,0,30,1,TIME_UP,0,0