_id,correct_orange_letters,correct_purple_letters,correct_yellow_letters,enemies_killed,final_health,incorrect_orange_letters,incorrect_purple_letters,incorrect_yellow_letters,level,reason_end,time_remaining,total_bullets
6358dba730bdff1d4f905ec8,2,2,3,3,10,0,2,2,2,SUCCESS,83,4
6358dc39c6ebe50c7834f1ba,2,1,2,6,15,1,2,2,1,SUCCESS,72,19
6358dcadb446149f05836e8b,2,1,2,0,15,2,2,3,1,SUCCESS,83,0
6358e0764604d65d2fa43571,2,1,2,4,20,0,2,2,1,SUCCESS,77,27
6358e0a5c440047c81537340,2,2,3,5,60,1,1,0,2,SUCCESS,90,17
6358e22b8e87db52eb3fae6c,2,2,4,8,10,1,2,1,1,SUCCESS,62,31
6358e4358528f5e75a62216a,2,1,2,3,85,0,1,0,1,SUCCESS,92,16
6358e463647b926eee48ed1d,2,2,3,4,60,0,1,1,2,SUCCESS,81,10
6358e66d30a3a8f1ec2e7e2a,2,2,3,2,95,0,1,0,2,SUCCESS,94,7
6358e6f3cff54ef9612722df,2,2,4,2,85,0,1,0,2,SUCCESS,97,3
6358e78784468db9637bc951,2,2,3,0,70,1,0,1,2,SUCCESS,91,0
6358e7e77de7c7a64e9ef8e0,2,1,2,3,60,0,1,1,1,SUCCESS,94,7
6358e80830a3a8f1ec2ed45e,2,2,3,4,75,0,0,1,2,SUCCESS,93,5
6358e87bb7c906438c63e2db,2,1,2,0,95,1,0,0,1,SUCCESS,96,0
6358e89f534e1de0a8f15f1f,2,2,3,1,100,0,0,0,2,SUCCESS,85,3
6358e93bb7c906438c6408ff,2,0,2,8,0,2,5,6,1,KILLED,49,58
6358e99f84468db9637c2d67,2,2,4,2,15,0,2,3,2,SUCCESS,71,11
6358eb59b7c906438c64664c,2,0,3,0,75,1,0,0,1,SUCCESS,95,0
6358eb7321431275326613a6,2,2,3,0,85,1,0,0,2,SUCCESS,96,0
6358ec8f84468db9637cb297,2,1,2,4,65,2,2,3,1,SUCCESS,76,9
6358ecb3cff54ef961282c99,2,2,3,3,80,0,0,2,2,SUCCESS,86,5
6359acc2a7be79b2656b1f7b,2,2,3,4,75,1,1,1,2,SUCCESS,86,58
6359acebd2a1cdd698982bf8,2,1,2,4,70,1,2,3,1,SUCCESS,95,19
6359ad0ad2a1cdd6989830ba,2,2,3,2,95,0,1,0,2,SUCCESS,91,14
6359ad38de6aa8bda983fb23,2,1,2,4,50,2,1,3,1,SUCCESS,87,20
6359ad66f6cfabab31cc4284,2,2,3,6,55,1,0,2,2,SUCCESS,86,26
6359ad8df6cfabab31cc4860,2,1,2,1,70,1,2,3,1,SUCCESS,89,4
6359adabde6aa8bda9840ca8,2,2,3,2,95,0,1,0,2,SUCCESS,97,4
6359adeef2f56bc7945aa7d0,2,2,3,4,70,0,0,0,2,SUCCESS,98,17
6359c36cf6cfabab31d0531b,2,1,2,4,80,1,1,2,1,SUCCESS,85,16
6359c3953bc7c179ef9c2a40,2,2,3,4,95,0,1,0,2,SUCCESS,86,12
6359c3edf6cfabab31d06cbd,2,2,3,3,70,1,2,1,2,SUCCESS,89,15
635b7d38db4abf79b64800a1,2,2,4,2,85,2,1,0,2,SUCCESS,96,9
635b7d5ffb368ea2262daab8,2,2,3,1,65,2,2,3,2,SUCCESS,88,6
635b7d898dde6dfa567eed5c,2,1,2,0,80,1,2,1,1,SUCCESS,95,2
635b7d9d09bda76c6498741c,2,2,3,0,100,0,0,0,2,SUCCESS,101,0
635b80366f8fb4fcbdb74999,0,0,2,0,0,1,0,0,2,KILLED,101,1
635b81d41f60c72ff575f998,2,2,3,0,100,0,0,0,2,SUCCESS,105,2
635b8fca6f8fb4fcbdbfd6cb,2,2,3,0,100,0,0,0,2,SUCCESS,106,0
635ecf5bf2f56bc7944b4041,2,1,2,3,85,2,1,0,1,SUCCESS,96,12
635ecf99d2a1cdd6988903e8,2,2,3,5,55,2,2,3,2,SUCCESS,75,14
635ecfbdd2a1cdd6988909b6,2,2,3,2,65,0,1,0,2,SUCCESS,98,5
635ecfed6a07890c6ab36d73,2,1,2,3,60,1,2,3,1,SUCCESS,82,11
635ed0165a33233a223bdb12,2,2,3,2,65,1,2,2,2,SUCCESS,88,13
635ed0a9f2f56bc7944b6e96,2,1,1,6,0,2,2,4,1,KILLED,78,30
6360e27e6a07890c6a24fea9,1,1,1,0,0,1,1,0,1,KILLED,81,1
636177fc202e5418d871daea,2,1,2,9,45,2,2,3,1,SUCCESS,58,54
636178d78f1f05b9346baba6,2,2,1,3,0,1,1,3,2,KILLED,58,18
63617a2009bda76c6409a8a8,2,1,1,14,15,2,3,4,1,TIME_UP,0,116
63617aabdb4abf79b6e27b16,2,1,2,4,85,1,1,1,1,SUCCESS,2,36
63617b568dde6dfa56ff06d4,2,1,3,16,0,0,3,3,2,KILLED,13,116
63617b77f2f56bc794deb1c5,2,1,3,0,10,2,5,5,1,SUCCESS,40,2
63617bab5a33233a22cfa131,1,1,3,0,0,2,1,0,2,KILLED,90,0
63617bcea7be79b265f1492c,2,2,3,0,80,0,0,0,2,SUCCESS,92,0
63617bdb3bc7c179ef1c8c6b,2,2,3,3,5,0,2,3,2,SUCCESS,28,53
63617c05de6aa8bda907a220,2,2,3,0,90,1,1,0,2,SUCCESS,80,0
63617c25f2f56bc794ded219,2,2,3,1,55,1,1,3,2,SUCCESS,63,10
63617c42f8424658ec9aa037,1,2,3,0,0,2,0,2,2,KILLED,83,0
63617c83f8424658ec9aabe3,2,2,3,0,10,2,0,2,2,SUCCESS,73,0
63617c94e6a5db6da15f7c80,1,0,3,2,0,2,2,4,2,KILLED,62,32
63617cafdb4abf79b6e53020,2,2,4,6,55,1,1,3,2,SUCCESS,57,24
63617cf9680d9be133fd479e,2,1,2,9,15,2,4,5,1,SUCCESS,51,49
63617d336a07890c6a478f32,2,0,1,12,0,2,1,3,1,KILLED,3,116
63617d36562ca46d7964561c,2,2,4,6,70,1,3,2,2,SUCCESS,72,43
63617d54bcf6c1bc29a15f9c,2,0,0,0,0,0,0,0,1,KILLED,100,1
63617daa3bc7c179ef1ce835,2,1,2,2,70,2,2,2,1,SUCCESS,38,13
63617e13e6a5db6da15fc424,1,2,3,8,0,1,0,2,2,KILLED,33,63
63617e14f6cfabab31507b7e,2,1,2,3,75,1,1,1,1,SUCCESS,97,40
63617e42a7be79b265f1c15d,2,2,3,4,65,1,3,3,2,SUCCESS,80,48
63617e60680d9be133fea0d8,2,2,2,8,40,1,4,3,1,SUCCESS,55,73
63617e72d2a1cdd6981cb410,2,2,4,5,5,2,0,1,2,SUCCESS,86,54
63617e88db4abf79b6e7176c,2,2,3,5,55,0,1,0,2,SUCCESS,83,37
63617ea0f2f56bc794df4b22,2,1,2,3,50,2,4,4,1,SUCCESS,82,11
63617ebaf52be5c6cad89c8c,2,2,3,1,70,0,0,0,2,SUCCESS,100,2
63617ed5f8424658ec9b1ac8,2,2,3,0,90,0,0,0,2,SUCCESS,104,0
63617edbbcf6c1bc29a1a6b7,2,2,3,0,65,1,0,0,2,SUCCESS,95,0
63617f75f2f56bc794df76e1,2,1,2,4,70,2,2,2,1,SUCCESS,73,28
63617fc9e6a5db6da16018d4,2,2,3,4,75,0,2,1,2,SUCCESS,74,22
63617febbcf6c1bc29a1de57,2,2,3,0,75,0,1,0,2,SUCCESS,95,0
6361800e5a33233a22d07a4b,2,2,3,0,95,1,0,0,2,SUCCESS,92,0
6361803c5a33233a22d082a6,1,1,2,0,0,2,3,3,1,KILLED,82,12
63618079f52be5c6cad8f247,2,0,3,0,75,1,2,0,1,SUCCESS,70,0
63618094d2a1cdd6981d1bed,2,2,3,0,100,0,0,0,2,SUCCESS,99,0
636180d9db4abf79b6ea13db,2,0,3,2,85,1,2,0,1,SUCCESS,95,5
636180ff680d9be133015fe7,2,2,3,4,65,0,1,0,2,SUCCESS,84,15
636181eae6a5db6da1607c01,0,1,1,0,0,0,0,0,1,KILLED,85,0
636181eaf6cfabab3151370a,0,0,0,0,0,0,0,0,1,KILLED,85,0
636184e8f52be5c6cad9d053,0,0,0,0,0,0,0,0,1,TIME_UP,0,0
63618514bcf6c1bc29a2d97a,0,0,0,0,0,0,0,0,1,KILLED,100,0
63618514d2a1cdd6981dfb19,0,0,0,0,0,0,0,0,1,KILLED,100,0
6361853e6a07890c6a491856,0,0,0,0,0,0,0,0,2,KILLED,90,0
63618e3ea7be79b265f4c3c1,2,1,2,3,85,1,0,2,1,SUCCESS,90,10
63618e71f6cfabab3153943a,2,2,3,4,40,1,2,1,2,SUCCESS,82,9
63618e966a07890c6a4acffb,2,2,3,3,75,1,1,1,2,SUCCESS,94,5
63618ec0a7be79b265f4dc9a,2,0,3,5,85,0,2,1,1,SUCCESS,93,8
63618edff52be5c6cadbb14a,1,1,1,1,0,0,0,1,2,KILLED,91,2
63618f01a7be79b265f4e7a8,2,2,3,2,95,0,1,0,2,SUCCESS,95,5
63619643a7be79b265f64428,0,0,1,0,0,0,2,1,1,KILLED,78,0
6361a4c3f52be5c6cae00a46,0,0,0,0,0,0,0,0,1,KILLED,95,0
6361a4c3d2a1cdd698242b2e,0,0,0,0,0,0,0,0,1,KILLED,95,0
6361a4c3bcf6c1bc29a909ad,0,0,1,1,0,1,0,1,1,KILLED,95,1